Index,Store Name,Place ID,Address,Category,Phone,Google URL,Business Website,Rating
4,INDIA FASHION,ChIJI8e69aMDDTkRuD84dXTui8I,"JAI PRAKASH GALI NO -2 , H -16/109 FIRST FLOOR, Tank RdOpen ⋅ Closes 8 pm",INDIA FASHION  5.0(38)Clothing store,098916 51907,https://www.google.com/maps/place/INDIA+FASHION/data=!4m7!3m6!1s0x390d03a3f5bac723:0xc28bee7475383fb8!8m2!3d28.6502967!4d77.1827263!16s%2Fg%2F11gtz6gqkt!19sChIJI8e69aMDDTkRuD84dXTui8I?authuser=0&hl=en&rclk=1,N/A,5.0 stars 38 Reviews
5,Shop in SHOPEE,ChIJIfykkjXjDDkRUbWwNUA-KXc,1-AOpen ⋅ Closes 10:30 pm,Shop in SHOPEE  4.8(258)Clothing store,095600 14499,https://www.google.com/maps/place/Shop+in+SHOPEE/data=!4m7!3m6!1s0x390ce33592a4fc21:0x77293e4035b0b551!8m2!3d28.5546928!4d77.1949178!16s%2Fg%2F11t7n_8xyt!19sChIJIfykkjXjDDkRUbWwNUA-KXc?authuser=0&hl=en&rclk=1,N/A,4.8 stars 258 Reviews
6,AND Connaught Place,ChIJv8FvSDH9DDkRu6hi5JfBZdI,"B-45/47 , Radial Road Number 4, PVR Cinema Road, BLock B, Connaught PlaceOpen ⋅ Closes 9:30 pm",AND Connaught Place  4.7(93)Western apparel store,091360 16046,https://www.google.com/maps/place/AND+Connaught+Place/data=!4m7!3m6!1s0x390cfd31486fc1bf:0xd265c197e462a8bb!8m2!3d28.6346732!4d77.2195764!16s%2Fg%2F11bttgs839!19sChIJv8FvSDH9DDkRu6hi5JfBZdI?authuser=0&hl=en&rclk=1,N/A,4.7 stars 93 Reviews
1,KALKI South Ex 2 Delhi,ChIJ9f2oMUHjDDkRRb0v45GzmYs,,"KALKI South Ex 2 Delhi  4.6(2,378)Clothing store","E-Block, E-3Open ⋅ Closes 9:30 pm",https://www.google.com/maps/place/KALKI+South+Ex+2+Delhi/data=!4m7!3m6!1s0x390ce34131a8fdf5:0x8b99b391e32fbd45!8m2!3d28.5681612!4d77.2209648!16s%2Fg%2F11t4bv8w_s!19sChIJ9f2oMUHjDDkRRb0v45GzmYs?authuser=0&hl=en&rclk=1,N/A,"4.6 stars 2,378 Reviews"
3,The Shop,ChIJU0LT6Un9DDkRwyP0LYELdZA,"10, Regal Building, Sansad Marg, beside BaristaOpen ⋅ Closes 8 pm",The Shop  4.6(125)Clothing store,011 2334 0971,https://www.google.com/maps/place/The+Shop/data=!4m7!3m6!1s0x390cfd49e9d34253:0x90750b812df423c3!8m2!3d28.6301162!4d77.2174334!16s%2Fg%2F12hkl6jmt!19sChIJU0LT6Un9DDkRwyP0LYELdZA?authuser=0&hl=en&rclk=1,N/A,4.6 stars 125 Reviews
2,ONLY,ChIJhzMU2vThDDkRFXtWu9PaDr4,,ONLY  4.5(71)Women's clothing store,"Anchor 1, Ground Floor, DLF PlaceOpen ⋅ Closes 7:30 pm",https://www.google.com/maps/place/ONLY/data=!4m7!3m6!1s0x390ce1f4da143387:0xbe0edad3bb567b15!8m2!3d28.5283676!4d77.216661!16s%2Fg%2F11_s3hrvk!19sChIJhzMU2vThDDkRFXtWu9PaDr4?authuser=0&hl=en&rclk=1,N/A,4.5 stars 71 Reviews
7,"Fabindia, Connaught Place (A Block)",ChIJd-3rnjD9DDkRCk-jwCG6sn8,,"Fabindia, Connaught Place (A Block)  4.3(2,002)Clothing store","Hamilton House, CONNAUGHT PLACE, A-1, next to Starbucks CoffeeOpen ⋅ Closes 8:30 pm","https://www.google.com/maps/place/Fabindia,+Connaught+Place+%28A+Block%29/data=!4m7!3m6!1s0x390cfd309eebed77:0x7fb2ba21c0a34f0a!8m2!3d28.6322495!4d77.2178216!16s%2Fg%2F1wf36z_s!19sChIJd-3rnjD9DDkRCk-jwCG6sn8?authuser=0&hl=en&rclk=1",N/A,"4.3 stars 2,002 Reviews"
