Index,Store Name,Place ID,Address,Category,Phone,Google URL,Business Website,Rating
1,The Shop,ChIJU0LT6Un9DDkRwyP0LYELdZA,"10, Regal Building, Sansad Marg, beside BaristaOpen ⋅ Closes 8 pm",The Shop  4.6(124)Clothing store,011 2334 0971,https://www.google.com/maps/place/The+Shop/data=!4m7!3m6!1s0x390cfd49e9d34253:0x90750b812df423c3!8m2!3d28.6301162!4d77.2174334!16s%2Fg%2F12hkl6jmt!19sChIJU0LT6Un9DDkRwyP0LYELdZA?authuser=0&hl=en&rclk=1,,4.6 stars 124 Reviews
2,India Shoppe,ChIJ6_g5A44EDTkR-mTsqZUaJ68,"WZ-14A, opp. CRPF CampOpen ⋅ Closes 6 pm",India Shoppe  4.4(50)Health and beauty shop,099116 22415,https://www.google.com/maps/place/India+Shoppe/data=!4m7!3m6!1s0x390d048e0339f8eb:0xaf271a95a9ec64fa!8m2!3d28.6451955!4d77.0859337!16s%2Fg%2F1pv2tqxqh!19sChIJ6_g5A44EDTkR-mTsqZUaJ68?authuser=0&hl=en&rclk=1,,4.4 stars 50 Reviews
5,Santushti Shopping Complex دلهي,ChIJvU0l5Z7iDDkRx4W-a0-tNE4,,"Santushti Shopping Complex دلهي  4.4(1,629)Shopping mall",Panchsheel MargUpscale boutiques in a garden settingOpen ⋅ Closes 10 pm,https://www.google.com/maps/place/Santushti+Shopping+Complex+%D8%AF%D9%84%D9%87%D9%8A%E2%80%AD/data=!4m7!3m6!1s0x390ce29ee5254dbd:0x4e34ad4f6bbe85c7!8m2!3d28.5951649!4d77.1983148!16s%2Fg%2F1v_s48kl!19sChIJvU0l5Z7iDDkRx4W-a0-tNE4?authuser=0&hl=en&rclk=1,,"4.4 stars 1,629 Reviews"
6,South indian store,ChIJ09Gfu3ADDTkRxu_rxUS0xxg,D-230Open ⋅ Closes 10 pm,South indian store  4.4(7)General store,098730 13310,https://www.google.com/maps/place/South+indian+store/data=!4m7!3m6!1s0x390d0370bb9fd1d3:0x18c7b444c5ebefc6!8m2!3d28.6517173!4d77.1101121!16s%2Fg%2F11d_74m_lw!19sChIJ09Gfu3ADDTkRxu_rxUS0xxg?authuser=0&hl=en&rclk=1,,4.4 stars 7 Reviews
7,Central Cottage Industries Emporium,ChIJbaaqFUn9DDkRFrStGYXUjEM,,"Central Cottage Industries Emporium  4.4(3,828)Craft store","Gate No 3, Jawahar Vyapar Bhawan, Janpath Rd, beside The Eastern Court Janpath Metro StationSizable retailer with Indian handicraftsOpen ⋅ Closes 7 pm",https://www.google.com/maps/place/Central+Cottage+Industries+Emporium/data=!4m7!3m6!1s0x390cfd4915aaa66d:0x438cd48519adb416!8m2!3d28.6259292!4d77.2195312!16s%2Fg%2F1td63pq3!19sChIJbaaqFUn9DDkRFrStGYXUjEM?authuser=0&hl=en&rclk=1,,"4.4 stars 3,828 Reviews"
4,The Shop,ChIJT4ZBzO_iDDkRiM4MvMN7afM,"122 & 123, Lodhi RdOpen ⋅ Closes 8 pm",The Shop  4.3(76)Clothing store,099905 11633,https://www.google.com/maps/place/The+Shop/data=!4m7!3m6!1s0x390ce2efcc41864f:0xf3697bc3bc0cce88!8m2!3d28.5827402!4d77.2270085!16s%2Fg%2F11b7fb5j8t!19sChIJT4ZBzO_iDDkRiM4MvMN7afM?authuser=0&hl=en&rclk=1,,4.3 stars 76 Reviews
3,Delhi Emporium,ChIJQ3ODsUn9DDkRM_AlVnfgM9c,"A-3/4, State Emporia Building, Baba Kharak Singh RdState India-made handicraft storeOpen ⋅ Closes 6:30 pm",Delhi Emporium  4.2(326)Craft store,011 2334 0343,https://www.google.com/maps/place/Delhi+Emporium/data=!4m7!3m6!1s0x390cfd49b1837343:0xd733e0775625f033!8m2!3d28.631332!4d77.215414!16s%2Fg%2F11cmmkl2h2!19sChIJQ3ODsUn9DDkRM_AlVnfgM9c?authuser=0&hl=en&rclk=1,,4.2 stars 326 Reviews
