Index,Store Name,Place ID,Address,Category,Phone,Google URL,Business Website,Rating
1,DR BHUTANI DENTAL CLINIC,ChIJMWQVNg0DDTkR67-nrkf_PCY,,DR BHUTANI DENTAL CLINIC  4.8(589)Dental clinic,"B-7, 1st Floor, Rajouri Garden (Black Building Chowk, opp. Metro Pillar No. 381Open ⋅ Closes 8 pm",https://www.google.com/maps/place/DR+BHUTANI+DENTAL+CLINIC/data=!4m7!3m6!1s0x390d030d36156431:0x263cff47aea7bfeb!8m2!3d28.6505029!4d77.126138!16s%2Fg%2F1hc6hqb4n!19sChIJMWQVNg0DDTkR67-nrkf_PCY?authuser=0&hl=en&rclk=1,,4.8 stars 589 Reviews
2,INDIADENS,ChIJRfPJlqLjDDkR309BZF8zgLM,C-16Open ⋅ Closes 7 pm,INDIADENS  4.9(136)Dental clinic,,https://www.google.com/maps/place/INDIADENS/data=!4m7!3m6!1s0x390ce3a296c9f345:0xb380335f64414fdf!8m2!3d28.546368!4d77.1968701!16s%2Fg%2F11hzm15qlc!19sChIJRfPJlqLjDDkR309BZF8zgLM?authuser=0&hl=en&rclk=1,,4.9 stars 136 Reviews
3,Dent Ally,ChIJJfpJYmziDDkRytu6XFz0qGQ,,Dent Ally  4.9(261)Dentist,"B-18, Balbir Saxena MargOpen ⋅ Closes 8 pm",https://www.google.com/maps/place/Dent+Ally/data=!4m7!3m6!1s0x390ce26c6249fa25:0x64a8f45c5cbadbca!8m2!3d28.5559251!4d77.2108287!16s%2Fg%2F11fxxxqksh!19sChIJJfpJYmziDDkRytu6XFz0qGQ?authuser=0&hl=en&rclk=1,,4.9 stars 261 Reviews
4,Focus Dental,ChIJg6iGEjkDDTkRYhkkW1lO5t8,"Focus Dental A-24, A 24, OP Bharti MargOpen ⋅ Closes 7 pm","Focus Dental  4.9(1,064)Dentist",,https://www.google.com/maps/place/Focus+Dental/data=!4m7!3m6!1s0x390d03391286a883:0xdfe64e595b241962!8m2!3d28.627458!4d77.136756!16s%2Fg%2F1tcznr9s!19sChIJg6iGEjkDDTkRYhkkW1lO5t8?authuser=0&hl=en&rclk=1,,"4.9 stars 1,064 Reviews"
5,Green Park Dental,ChIJzaHo3nHiDDkR0O3Cj0tq52E,,Green Park Dental  4.8(724)Dental implants periodontist,H-4Closed ⋅ Opens 9 am Tue,https://www.google.com/maps/place/Green+Park+Dental/data=!4m7!3m6!1s0x390ce271dee8a1cd:0x61e76a4b8fc2edd0!8m2!3d28.5598249!4d77.2058092!16s%2Fg%2F1th5y53c!19sChIJzaHo3nHiDDkR0O3Cj0tq52E?authuser=0&hl=en&rclk=1,,4.8 stars 724 Reviews
6,Smile Delhi - The Dental Clinic,ChIJ4XkrGqLjDDkRL9AGttq-Xxk,,Smile Delhi - The Dental Clinic  4.9(203)Dentist,D-1065Open ⋅ Closes 7 pm,https://www.google.com/maps/place/Smile+Delhi+-+The+Dental+Clinic/data=!4m7!3m6!1s0x390ce3a21a2b79e1:0x195fbedab606d02f!8m2!3d28.5685054!4d77.2656263!16s%2Fg%2F1tdyzb2n!19sChIJ4XkrGqLjDDkRL9AGttq-Xxk?authuser=0&hl=en&rclk=1,,4.9 stars 203 Reviews
7,My Dentist,ChIJVVVVRX0DDTkRL9bqBMAezyA,D-49Open ⋅ Closes 8:30 pm,My Dentist  4.8(109)Dentist,,https://www.google.com/maps/place/My+Dentist/data=!4m7!3m6!1s0x390d037d45555555:0x20cf1ec004ead62f!8m2!3d28.6457104!4d77.1041481!16s%2Fg%2F11t4fqltph!19sChIJVVVVRX0DDTkRL9bqBMAezyA?authuser=0&hl=en&rclk=1,,4.8 stars 109 Reviews
